"","Taxon","Primary_focus","Secondary_focus","Freq","proportion","ymax","ymin"
"1","animals and plants","ecology & evolution","none",2,0.0150375939849624,0.0150375939849624,0
"2","animals and plants","ecology & evolution","general",1,0.0075187969924812,0.0225563909774436,0.0150375939849624
"3","animals and plants","ecology & evolution","other",1,0.0075187969924812,0.0300751879699248,0.0225563909774436
"4","animals and plants","ecology & evolution","proximate mechanisms",1,0.0075187969924812,0.037593984962406,0.0300751879699248
"5","animals and plants","general","proximate mechanisms",1,0.0075187969924812,0.0451127819548872,0.037593984962406
"6","animals and plants","proximate mechanisms","general",1,0.0075187969924812,0.0526315789473684,0.0451127819548872
"7","animals","age","ecology & evolution",1,0.0075187969924812,0.0601503759398496,0.0526315789473684
"8","animals","ecology & evolution","other",3,0.0225563909774436,0.0827067669172932,0.0601503759398496
"9","animals","ecology & evolution","none",1,0.0075187969924812,0.0902255639097744,0.0827067669172932
"10","animals","ecology & evolution","proximate mechanisms",1,0.0075187969924812,0.0977443609022556,0.0902255639097744
"11","animals","general","none",2,0.0150375939849624,0.112781954887218,0.0977443609022556
"12","animals","general","proximate mechanisms",1,0.0075187969924812,0.120300751879699,0.112781954887218
"13","animals","other","proximate mechanisms",1,0.0075187969924812,0.12781954887218,0.120300751879699
"14","animals","proximate mechanisms","ecology & evolution",3,0.0225563909774436,0.150375939849624,0.12781954887218
"15","animals","proximate mechanisms","none",1,0.0075187969924812,0.157894736842105,0.150375939849624
"16","animals","proximate mechanisms","other",1,0.0075187969924812,0.165413533834586,0.157894736842105
"17","mammals","age","effects of drugs/toxins",1,0.0075187969924812,0.172932330827068,0.165413533834586
"18","mammals","age","proximate mechanisms",1,0.0075187969924812,0.180451127819549,0.172932330827068
"19","mammals","alcohol","proximate mechanisms",4,0.0300751879699248,0.210526315789474,0.180451127819549
"20","mammals","alcohol","none",2,0.0150375939849624,0.225563909774436,0.210526315789474
"21","mammals","effects of drugs/toxins","proximate mechanisms",11,0.0827067669172932,0.308270676691729,0.225563909774436
"22","mammals","effects of drugs/toxins","none",4,0.0300751879699248,0.338345864661654,0.308270676691729
"23","mammals","effects of drugs/toxins","other",2,0.0150375939849624,0.353383458646617,0.338345864661654
"24","mammals","effects of drugs/toxins","alcohol",1,0.0075187969924812,0.360902255639098,0.353383458646617
"25","mammals","effects of drugs/toxins","assisted reproduction techniques",1,0.0075187969924812,0.368421052631579,0.360902255639098
"26","mammals","effects of drugs/toxins","offspring cancer",1,0.0075187969924812,0.37593984962406,0.368421052631579
"27","mammals","general","proximate mechanisms",3,0.0225563909774436,0.398496240601504,0.37593984962406
"28","mammals","general","none",2,0.0150375939849624,0.413533834586466,0.398496240601504
"29","mammals","metabolic disorders","proximate mechanisms",11,0.0827067669172932,0.496240601503759,0.413533834586466
"30","mammals","metabolic disorders","none",4,0.0300751879699248,0.526315789473684,0.496240601503759
"31","mammals","metabolic disorders","effects of drugs/toxins",2,0.0150375939849624,0.541353383458647,0.526315789473684
"32","mammals","metabolic disorders","offspring cancer",2,0.0150375939849624,0.556390977443609,0.541353383458647
"33","mammals","metabolic disorders","other",2,0.0150375939849624,0.571428571428571,0.556390977443609
"34","mammals","other","proximate mechanisms",4,0.0300751879699248,0.601503759398496,0.571428571428571
"35","mammals","other","metabolic disorders",1,0.0075187969924812,0.609022556390977,0.601503759398496
"36","mammals","other","none",1,0.0075187969924812,0.616541353383459,0.609022556390977
"37","mammals","proximate mechanisms","none",11,0.0827067669172932,0.699248120300752,0.616541353383459
"38","mammals","proximate mechanisms","metabolic disorders",6,0.0451127819548872,0.744360902255639,0.699248120300752
"39","mammals","proximate mechanisms","other",6,0.0451127819548872,0.789473684210526,0.744360902255639
"40","mammals","proximate mechanisms","assisted reproduction techniques",3,0.0225563909774436,0.81203007518797,0.789473684210526
"41","mammals","proximate mechanisms","general",2,0.0150375939849624,0.827067669172932,0.81203007518797
"42","mammals","proximate mechanisms","alcohol",1,0.0075187969924812,0.834586466165413,0.827067669172932
"43","mammals","proximate mechanisms","effects of drugs/toxins",1,0.0075187969924812,0.842105263157895,0.834586466165413
"44","humans","age","proximate mechanisms",2,0.0150375939849624,0.857142857142857,0.842105263157895
"45","humans","age","effects of drugs/toxins",1,0.0075187969924812,0.864661654135338,0.857142857142857
"46","humans","age","general",1,0.0075187969924812,0.87218045112782,0.864661654135338
"47","humans","alcohol","offspring cancer",1,0.0075187969924812,0.879699248120301,0.87218045112782
"48","humans","effects of drugs/toxins","none",5,0.037593984962406,0.917293233082707,0.879699248120301
"49","humans","effects of drugs/toxins","offspring cancer",2,0.0150375939849624,0.932330827067669,0.917293233082707
"50","humans","effects of drugs/toxins","other",2,0.0150375939849624,0.947368421052632,0.932330827067669
"51","humans","effects of drugs/toxins","assisted reproduction techniques",1,0.0075187969924812,0.954887218045113,0.947368421052632
"52","humans","general","other",1,0.0075187969924812,0.962406015037594,0.954887218045113
"53","humans","metabolic disorders","assisted reproduction techniques",1,0.0075187969924812,0.969924812030075,0.962406015037594
"54","humans","metabolic disorders","none",1,0.0075187969924812,0.977443609022556,0.969924812030075
"55","humans","metabolic disorders","proximate mechanisms",1,0.0075187969924812,0.984962406015037,0.977443609022556
"56","humans","proximate mechanisms","assisted reproduction techniques",1,0.0075187969924812,0.992481203007519,0.984962406015037
"57","humans","proximate mechanisms","general",1,0.0075187969924812,1,0.992481203007519
